,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,4150,Asia Central
1,ALB,Albania,5729,Europe Other
2,DZA,Algeria,9545,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,3,Europe Other
5,AGO,Angola,2869,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,36,America Central and South
8,ARG,Argentina,908,America Central and South
9,ARM,Armenia,2120,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,22035,Oceania
12,AUT,Austria,2,EU 14
13,AZE,Azerbaijan,5132,Europe Other
14,BHS,"Bahamas, The",73,America Central and South
15,BHR,Bahrain,8807,Middle East
16,BGD,Bangladesh,31103,Asia South
17,BRB,Barbados,209,America Central and South
18,BLR,Belarus,8109,Europe Other
19,BEL,Belgium,1,EU 14
20,BLZ,Belize,41,America Central and South
21,BEN,Benin,435,Africa Sub-Saharan
22,BMU,Bermuda (British),1,Other
23,BTN,Bhutan,244,Asia South
24,BOL,Bolivia,981,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,3490,Europe Other
27,BWA,Botswana,394,Africa Sub-Saharan
28,BRA,Brazil,5187,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,1211,Asia South East
31,BGR,Bulgaria,13,EU 2
32,BFA,Burkina,280,Africa Sub-Saharan
33,BDI,Burundi,241,Africa Sub-Saharan
34,KHM,Cambodia,562,Asia South East
35,CMR,Cameroon,4477,Africa Sub-Saharan
36,CAN,Canada,11218,America North
37,CPV,Cape Verde,127,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,47,Africa Sub-Saharan
40,TCD,Chad,66,Africa Sub-Saharan
41,CHL,Chile,893,America Central and South
42,CHN,China,215045,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,21233,America Central and South
46,COM,Comoros,51,Africa Sub-Saharan
47,COG,Congo,615,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),1804,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,79,America Central and South
51,HRV,Croatia,408,EU Other
52,CUB,Cuba,1548,America Central and South
53,CYP,Cyprus,511,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,1,EU 14
57,DJI,Djibouti,114,Africa Sub-Saharan
58,DMA,Dominica,47,America Central and South
59,DOM,Dominican Republic,1167,America Central and South
60,TLS,East Timor,8,Asia South East
61,ECU,Ecuador,3111,America Central and South
62,EGY,Egypt,36184,Africa North
63,SLV,El Salvador,38,America Central and South
64,GNQ,Equatorial Guinea,158,Africa Sub-Saharan
65,ERI,Eritrea,1392,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
67,ETH,Ethiopia,3441,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,1067,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,1,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,272,Africa Sub-Saharan
76,GMB,"Gambia, The",3352,Africa Sub-Saharan
77,GEO,Georgia,4519,Europe Other
78,DEU,Germany,4,EU 14
79,GHA,Ghana,21080,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,1,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,76,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,66,America Central and South
87,GIN,Guinea,723,Africa Sub-Saharan
88,GNB,Guinea-Bissau,159,Africa Sub-Saharan
89,GUY,Guyana,996,America Central and South
90,HTI,Haiti,228,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,47,America Central and South
93,HKG,Hong Kong,8339,Asia East
94,HUN,Hungary,1,EU 8
95,ISL,Iceland,3,Europe Other
96,IND,India,420013,Asia South
97,IDN,Indonesia,26571,Asia South East
98,IRN,Iran,23630,Middle East
99,IRQ,Iraq,6895,Middle East
100,IRL,Ireland,0,EU 14
101,ISR,Israel,1071,Middle East
102,ITA,Italy,3,EU 14
103,CIV,Ivory Coast,1865,Africa Sub-Saharan
104,JAM,Jamaica,8435,America Central and South
105,JPN,Japan,9522,Asia East
106,JOR,Jordan,11391,Middle East
107,KAZ,Kazakhstan,13937,Asia Central
108,KEN,Kenya,13990,Africa Sub-Saharan
109,KIR,Kiribati,0,Oceania
110,KWT,Kuwait,48194,Middle East
111,KGZ,Kyrgyzstan,743,Asia Central
112,LAO,Laos,153,Asia South East
113,LVA,Latvia,12,EU 8
114,LBN,Lebanon,12062,Middle East
115,LSO,Lesotho,297,Africa Sub-Saharan
116,LBR,Liberia,340,Africa Sub-Saharan
117,LBY,Libya,20051,Africa North
118,LIE,Liechtenstein,0,Europe Other
119,LTU,Lithuania,0,EU 8
120,LUX,Luxembourg,0,EU 14
121,MAC,Macau,174,Asia East
122,MKD,Macedonia,3240,Europe Other
123,MDG,Madagascar,384,Africa Sub-Saharan
124,MWI,Malawi,1962,Africa Sub-Saharan
125,MYS,Malaysia,8606,Asia South East
126,MDV,Maldives,100,Asia South
127,MLI,Mali,415,Africa Sub-Saharan
128,MLT,Malta,0,EU Other
129,MHL,Marshall Islands,0,Oceania
130,MTQ,Martinique,0,America Central and South
131,MRT,Mauritania,151,Africa North
132,MUS,Mauritius,1589,Africa Sub-Saharan
133,MYT,Mayotte,0,Africa Sub-Saharan
134,MEX,Mexico,1940,America Central and South
135,FSM,Micronesia,1,Oceania
136,MDA,Moldova,1576,Europe Other
137,MCO,Monaco,10,Europe Other
138,MNG,Mongolia,1490,Asia East
139,MNE,Montenegro,1878,Europe Other
140,MSR,Montserrat (British),0,Other
141,MAR,Morocco,10493,Africa North
142,MOZ,Mozambique,718,Africa Sub-Saharan
143,MMR,Myanmar,1767,Asia South East
144,NAM,Namibia,137,Africa Sub-Saharan
145,NRU,Nauru,0,Oceania
146,NPL,Nepal,14692,Asia South
147,NLD,Netherlands,0,EU 14
148,NLD,Netherlands Antilles,0,America Central and South
149,NCL,New Caledonia,0,Oceania
150,NZL,New Zealand,7099,Oceania
151,NIC,Nicaragua,25,America Central and South
152,NER,Niger,162,Africa Sub-Saharan
153,NGA,Nigeria,125765,Africa Sub-Saharan
154,NIU,Niue,1,Oceania
155,NFK,Norfolk Island,0,Oceania
156,PRK,North Korea,19,Asia East
157,MNP,Northern Mariana Islands,0,Oceania
158,NOR,Norway,2,Europe Other
159,OMN,Oman,8628,Middle East
160,PAK,Pakistan,96452,Asia South
161,PLW,Palau,0,Oceania
162,PAN,Panama,50,America Central and South
163,PNG,Papua New Guinea,21,Oceania
164,PRY,Paraguay,41,America Central and South
165,PER,Peru,4887,America Central and South
166,PHL,Philippines,45749,Asia South East
167,PCN,Pitcairn Islands (British),0,Other
168,POL,Poland,4,EU 8
169,PRT,Portugal,2,EU 14
170,PRI,Puerto Rico,0,America North
171,QAT,Qatar,15392,Middle East
172,ROU,Romania,15,EU 2
173,RUS,Russia,142586,Europe Other
174,RWA,Rwanda,796,Africa Sub-Saharan
175,WSM,Samoa,12,Oceania
176,SMR,San Marino,2,Europe Other
177,STP,Sao Tome and Principe,44,Africa Sub-Saharan
178,SAU,Saudi Arabia,77021,Middle East
179,SEN,Senegal,1689,Africa Sub-Saharan
180,SRB,Serbia,13176,Europe Other
181,MNE,Serbia and Montenegro,0,Europe Other
182,SYC,Seychelles,140,Africa Sub-Saharan
183,SLE,Sierra Leone,3275,Africa Sub-Saharan
184,SGP,Singapore,2588,Asia South East
185,SVK,Slovakia,0,EU 8
186,SVN,Slovenia,0,EU 8
187,SLB,Solomon Islands,2,Oceania
188,SOM,Somalia,2890,Africa Sub-Saharan
189,ZAF,South Africa,111497,Africa Sub-Saharan
190,GEO,South Georgia and South Sandwich Islands,0,Other
191,KOR,South Korea,9056,Asia East
192,ESP,Spain,1,EU 14
193,LKA,Sri Lanka,32974,Asia South
194,KNA,St. Kitts and Nevis,21,America Central and South
195,LCA,St. Lucia,134,America Central and South
196,MAF,St. Martin (French Part),0,America Central and South
197,SPM,St. Pierre and Miquelon,0,America Central and South
198,SDN,Sudan,7197,Africa North
199,SDN,Sudan (South),0,Africa Sub-Saharan
200,SUR,Surinam,105,America Central and South
201,SJM,Svalbard and Jan Mayen,0,Europe Other
202,SWZ,Swaziland,399,Africa Sub-Saharan
203,SWE,Sweden,1,EU 14
204,CHE,Switzerland,2,Europe Other
205,SYR,Syria,5522,Middle East
206,TWN,Taiwan,4315,Asia East
207,TJK,Tajikistan,377,Asia Central
208,TZA,Tanzania,4619,Africa Sub-Saharan
209,THA,Thailand,52164,Asia South East
210,TGO,Togo,382,Africa Sub-Saharan
211,TKL,Tokelau,0,Oceania
212,TON,Tonga,18,Oceania
213,TTO,Trinidad and Tobago,844,America Central and South
214,TUN,Tunisia,4233,Africa North
215,TUR,Turkey,87817,Europe Other
216,TKM,Turkmenistan,1190,Asia Central
217,TCA,Turks and Caicos Islands (British),0,Other
218,TUV,Tuvalu,0,Oceania
219,UGA,Uganda,5729,Africa Sub-Saharan
220,UKR,Ukraine,31631,Europe Other
221,ARE,United Arab Emirates,24826,Middle East
222,USA,United States,38495,America North
223,VIR,United States Virgin Islands,0,America North
224,URY,Uruguay,98,America Central and South
225,UZB,Uzbekistan,1892,Asia Central
226,VUT,Vanuatu,2,Oceania
227,VAT,Vatican City,6,Europe Other
228,VEN,Venezuela,3340,America Central and South
229,VNM,Vietnam,9916,Asia South East
230,WLF,Wallis and Futuna,0,Oceania
231,ESH,Western Sahara,0,Africa North
232,YEM,Yemen,2462,Middle East
233,ZMB,Zambia,3764,Africa Sub-Saharan
234,ZWE,Zimbabwe,8015,Africa Sub-Saharan
235,PSE,the State of Palestine,2665,Middle East
236,GGY,Guernsey,0,Other
237,BLM,Saint Barthélemy,0,Other
238,SXM,Sint Maarten (Dutch part),0,Other
239,VCT,Saint Vincent and the Grenadines,0,Other
240,GBR,United Kingdom,0,Other
241,BVT,Bouvet Island,0,Other
242,JEY,Jersey,0,Other
243,CUW,Curaçao,0,Other
244,ATA,Antarctica,0,Other
245,ALA,Åland Islands,0,Other
246,UMI,United States Minor Outlying Islands,0,Other
247,SSD,South Sudan,0,Other
248,REU,Réunion,0,Other
249,SHN,"Saint Helena, Ascension and Tristan da Cunha",0,Other
250,IMN,Isle of Man,0,Other
251,COD,"Congo, The Democratic Republic of the",0,Other
252,SGS,South Georgia and the South Sandwich Islands,0,Other
253,IOT,British Indian Ocean Territory,0,Other
254,ATF,French Southern Territories,0,Other
