,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,372,Asia Central
1,ALB,Albania,363,Europe Other
2,DZA,Algeria,349,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,2,Europe Other
5,AGO,Angola,236,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,13,America Central and South
8,ARG,Argentina,149,America Central and South
9,ARM,Armenia,112,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,1072,Oceania
12,AUT,Austria,1,EU 14
13,AZE,Azerbaijan,446,Europe Other
14,BHS,"Bahamas, The",53,America Central and South
15,BHR,Bahrain,715,Middle East
16,BGD,Bangladesh,10140,Asia South
17,BRB,Barbados,114,America Central and South
18,BLR,Belarus,139,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,14,America Central and South
21,BEN,Benin,24,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,22,Asia South
24,BOL,Bolivia,45,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,63,Europe Other
27,BWA,Botswana,238,Africa Sub-Saharan
28,BRA,Brazil,2342,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,1109,Asia South East
31,BGR,Bulgaria,0,EU 2
32,BFA,Burkina,9,Africa Sub-Saharan
33,BDI,Burundi,5,Africa Sub-Saharan
34,KHM,Cambodia,42,Asia South East
35,CMR,Cameroon,680,Africa Sub-Saharan
36,CAN,Canada,3624,America North
37,CPV,Cape Verde,2,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,0,Africa Sub-Saharan
40,TCD,Chad,2,Africa Sub-Saharan
41,CHL,Chile,474,America Central and South
42,CHN,China,44724,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,3599,America Central and South
46,COM,Comoros,4,Africa Sub-Saharan
47,COG,Congo,15,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),26,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,25,America Central and South
51,HRV,Croatia,158,EU Other
52,CUB,Cuba,9,America Central and South
53,CYP,Cyprus,13,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,4,Africa Sub-Saharan
58,DMA,Dominica,17,America Central and South
59,DOM,Dominican Republic,23,America Central and South
60,TLS,East Timor,3,Asia South East
61,ECU,Ecuador,149,America Central and South
62,EGY,Egypt,858,Africa North
63,SLV,El Salvador,16,America Central and South
64,GNQ,Equatorial Guinea,13,Africa Sub-Saharan
65,ERI,Eritrea,8,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
67,ETH,Ethiopia,95,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,11,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,0,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,5,Africa Sub-Saharan
76,GMB,"Gambia, The",211,Africa Sub-Saharan
77,GEO,Georgia,288,Europe Other
78,DEU,Germany,1,EU 14
79,GHA,Ghana,965,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,0,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,23,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,23,America Central and South
87,GIN,Guinea,46,Africa Sub-Saharan
88,GNB,Guinea-Bissau,1,Africa Sub-Saharan
89,GUY,Guyana,34,America Central and South
90,HTI,Haiti,4,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,15,America Central and South
93,HKG,Hong Kong,7225,Asia East
94,HUN,Hungary,0,EU 8
95,ISL,Iceland,0,Europe Other
96,IND,India,49406,Asia South
97,IDN,Indonesia,1114,Asia South East
98,IRN,Iran,2974,Middle East
99,IRQ,Iraq,599,Middle East
100,IRL,Ireland,0,EU 14
101,ISR,Israel,245,Middle East
102,ITA,Italy,1,EU 14
103,CIV,Ivory Coast,33,Africa Sub-Saharan
104,JAM,Jamaica,118,America Central and South
105,JPN,Japan,3962,Asia East
106,JOR,Jordan,898,Middle East
107,KAZ,Kazakhstan,2228,Asia Central
108,KEN,Kenya,937,Africa Sub-Saharan
109,KIR,Kiribati,0,Oceania
110,KWT,Kuwait,1490,Middle East
111,KGZ,Kyrgyzstan,84,Asia Central
112,LAO,Laos,1,Asia South East
113,LVA,Latvia,0,EU 8
114,LBN,Lebanon,373,Middle East
115,LSO,Lesotho,17,Africa Sub-Saharan
116,LBR,Liberia,23,Africa Sub-Saharan
117,LBY,Libya,5546,Africa North
118,LIE,Liechtenstein,0,Europe Other
119,LTU,Lithuania,0,EU 8
120,LUX,Luxembourg,0,EU 14
121,MAC,Macau,165,Asia East
122,MKD,Macedonia,80,Europe Other
123,MDG,Madagascar,18,Africa Sub-Saharan
124,MWI,Malawi,200,Africa Sub-Saharan
125,MYS,Malaysia,6938,Asia South East
126,MDV,Maldives,88,Asia South
127,MLI,Mali,22,Africa Sub-Saharan
128,MLT,Malta,0,EU Other
