,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,44,Asia Central
1,ALB,Albania,41,Europe Other
2,DZA,Algeria,97,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,0,Europe Other
5,AGO,Angola,38,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,0,America Central and South
8,ARG,Argentina,586,America Central and South
9,ARM,Armenia,72,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,14740,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,170,Europe Other
14,BHS,"Bahamas, The",4,America Central and South
15,BHR,Bahrain,25,Middle East
16,BGD,Bangladesh,980,Asia South
17,BRB,Barbados,24,America Central and South
18,BLR,Belarus,154,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,0,America Central and South
21,BEN,Benin,15,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,4,Asia South
24,BOL,Bolivia,15,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,34,Europe Other
27,BWA,Botswana,30,Africa Sub-Saharan
28,BRA,Brazil,850,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,40,Asia South East
31,BGR,Bulgaria,4,EU 2
32,BFA,Burkina,4,Africa Sub-Saharan
33,BDI,Burundi,2,Africa Sub-Saharan
34,KHM,Cambodia,12,Asia South East
35,CMR,Cameroon,78,Africa Sub-Saharan
36,CAN,Canada,5453,America North
37,CPV,Cape Verde,5,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,0,Africa Sub-Saharan
40,TCD,Chad,6,Africa Sub-Saharan
41,CHL,Chile,169,America Central and South
42,CHN,China,4871,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,369,America Central and South
46,COM,Comoros,1,Africa Sub-Saharan
47,COG,Congo,13,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),30,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,29,America Central and South
51,HRV,Croatia,162,EU Other
52,CUB,Cuba,194,America Central and South
53,CYP,Cyprus,10,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,1,Africa Sub-Saharan
58,DMA,Dominica,22,America Central and South
59,DOM,Dominican Republic,26,America Central and South
60,TLS,East Timor,0,Asia South East
61,ECU,Ecuador,86,America Central and South
62,EGY,Egypt,1397,Africa North
63,SLV,El Salvador,5,America Central and South
64,GNQ,Equatorial Guinea,0,Africa Sub-Saharan
65,ERI,Eritrea,163,Africa Sub-Saharan
66,EST,Estonia,1,EU 8
67,ETH,Ethiopia,351,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,15,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,0,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,11,Africa Sub-Saharan
76,GMB,"Gambia, The",33,Africa Sub-Saharan
77,GEO,Georgia,50,Europe Other
78,DEU,Germany,0,EU 14
79,GHA,Ghana,730,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,0,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,2,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,3,America Central and South
87,GIN,Guinea,25,Africa Sub-Saharan
88,GNB,Guinea-Bissau,0,Africa Sub-Saharan
89,GUY,Guyana,17,America Central and South
90,HTI,Haiti,2,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,13,America Central and South
93,HKG,Hong Kong,563,Asia East
94,HUN,Hungary,0,EU 8
95,ISL,Iceland,0,Europe Other
96,IND,India,48627,Asia South
97,IDN,Indonesia,1866,Asia South East
98,IRN,Iran,488,Middle East
99,IRQ,Iraq,100,Middle East
100,IRL,Ireland,0,EU 14
101,ISR,Israel,402,Middle East
102,ITA,Italy,1,EU 14
103,CIV,Ivory Coast,26,Africa Sub-Saharan
104,JAM,Jamaica,513,America Central and South
105,JPN,Japan,4597,Asia East
106,JOR,Jordan,183,Middle East
107,KAZ,Kazakhstan,403,Asia Central
108,KEN,Kenya,459,Africa Sub-Saharan
109,KIR,Kiribati,0,Oceania
110,KWT,Kuwait,32,Middle East
111,KGZ,Kyrgyzstan,19,Asia Central
112,LAO,Laos,0,Asia South East
113,LVA,Latvia,0,EU 8
114,LBN,Lebanon,288,Middle East
115,LSO,Lesotho,3,Africa Sub-Saharan
116,LBR,Liberia,0,Africa Sub-Saharan
117,LBY,Libya,128,Africa North
118,LIE,Liechtenstein,0,Europe Other
119,LTU,Lithuania,0,EU 8
120,LUX,Luxembourg,1,EU 14
121,MAC,Macau,4,Asia East
122,MKD,Macedonia,38,Europe Other
123,MDG,Madagascar,3,Africa Sub-Saharan
124,MWI,Malawi,51,Africa Sub-Saharan
125,MYS,Malaysia,719,Asia South East
126,MDV,Maldives,1,Asia South
127,MLI,Mali,62,Africa Sub-Saharan
128,MLT,Malta,0,EU Other
129,MHL,Marshall Islands,0,Oceania
130,MTQ,Martinique,0,America Central and South
131,MRT,Mauritania,3,Africa North
132,MUS,Mauritius,130,Africa Sub-Saharan
133,MYT,Mayotte,0,Africa Sub-Saharan
134,MEX,Mexico,352,America Central and South
135,FSM,Micronesia,0,Oceania
136,MDA,Moldova,106,Europe Other
137,MCO,Monaco,5,Europe Other
138,MNG,Mongolia,37,Asia East
139,MNE,Montenegro,10,Europe Other
140,MSR,Montserrat (British),0,Other
141,MAR,Morocco,359,Africa North
142,MOZ,Mozambique,16,Africa Sub-Saharan
143,MMR,Myanmar,69,Asia South East
144,NAM,Namibia,10,Africa Sub-Saharan
145,NRU,Nauru,0,Oceania
146,NPL,Nepal,938,Asia South
147,NLD,Netherlands,0,EU 14
148,NLD,Netherlands Antilles,0,America Central and South
149,NCL,New Caledonia,0,Oceania
