,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,2547,Asia Central
1,ALB,Albania,2650,Europe Other
2,DZA,Algeria,7027,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,1,Europe Other
5,AGO,Angola,1071,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,5,America Central and South
8,ARG,Argentina,59,America Central and South
9,ARM,Armenia,238,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,734,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,1181,Europe Other
14,BHS,"Bahamas, The",39,America Central and South
15,BHR,Bahrain,124,Middle East
16,BGD,Bangladesh,8691,Asia South
17,BRB,Barbados,38,America Central and South
18,BLR,Belarus,514,Europe Other
19,BEL,Belgium,1,EU 14
20,BLZ,Belize,3,America Central and South
21,BEN,Benin,193,Africa Sub-Saharan
22,BMU,Bermuda (British),0,Other
23,BTN,Bhutan,16,Asia South
24,BOL,Bolivia,133,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,335,Europe Other
27,BWA,Botswana,27,Africa Sub-Saharan
28,BRA,Brazil,495,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,22,Asia South East
31,BGR,Bulgaria,4,EU 2
32,BFA,Burkina,74,Africa Sub-Saharan
33,BDI,Burundi,76,Africa Sub-Saharan
34,KHM,Cambodia,143,Asia South East
35,CMR,Cameroon,1621,Africa Sub-Saharan
36,CAN,Canada,453,America North
37,CPV,Cape Verde,31,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,28,Africa Sub-Saharan
40,TCD,Chad,36,Africa Sub-Saharan
41,CHL,Chile,91,America Central and South
42,CHN,China,15631,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,1964,America Central and South
46,COM,Comoros,67,Africa Sub-Saharan
47,COG,Congo,424,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),1511,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,16,America Central and South
51,HRV,Croatia,6,EU Other
52,CUB,Cuba,377,America Central and South
53,CYP,Cyprus,136,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,1,EU 14
57,DJI,Djibouti,62,Africa Sub-Saharan
58,DMA,Dominica,17,America Central and South
59,DOM,Dominican Republic,209,America Central and South
60,TLS,East Timor,0,Asia South East
61,ECU,Ecuador,426,America Central and South
62,EGY,Egypt,8271,Africa North
63,SLV,El Salvador,9,America Central and South
64,GNQ,Equatorial Guinea,64,Africa Sub-Saharan
65,ERI,Eritrea,469,Africa Sub-Saharan
66,EST,Estonia,2,EU 8
67,ETH,Ethiopia,1462,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,182,Oceania
71,FIN,Finland,1,EU 14
72,FRA,France,1,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,68,Africa Sub-Saharan
76,GMB,"Gambia, The",2066,Africa Sub-Saharan
77,GEO,Georgia,728,Europe Other
78,DEU,Germany,3,EU 14
79,GHA,Ghana,15936,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,0,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,19,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,5,America Central and South
87,GIN,Guinea,542,Africa Sub-Saharan
88,GNB,Guinea-Bissau,151,Africa Sub-Saharan
89,GUY,Guyana,254,America Central and South
90,HTI,Haiti,81,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,3,America Central and South
93,HKG,Hong Kong,239,Asia East
94,HUN,Hungary,0,EU 8
95,ISL,Iceland,1,Europe Other
96,IND,India,42634,Asia South
97,IDN,Indonesia,1706,Asia South East
98,IRN,Iran,4458,Middle East
99,IRQ,Iraq,4253,Middle East
100,IRL,Ireland,2,EU 14
101,ISR,Israel,149,Middle East
102,ITA,Italy,3,EU 14
103,CIV,Ivory Coast,755,Africa Sub-Saharan
104,JAM,Jamaica,2674,America Central and South
105,JPN,Japan,188,Asia East
106,JOR,Jordan,2107,Middle East
107,KAZ,Kazakhstan,1279,Asia Central
108,KEN,Kenya,2566,Africa Sub-Saharan
109,KIR,Kiribati,0,Oceania
110,KWT,Kuwait,895,Middle East
111,KGZ,Kyrgyzstan,224,Asia Central
112,LAO,Laos,46,Asia South East
113,LVA,Latvia,2,EU 8
114,LBN,Lebanon,3157,Middle East
115,LSO,Lesotho,22,Africa Sub-Saharan
116,LBR,Liberia,164,Africa Sub-Saharan
117,LBY,Libya,8675,Africa North
118,LIE,Liechtenstein,0,Europe Other
119,LTU,Lithuania,0,EU 8
120,LUX,Luxembourg,0,EU 14
121,MAC,Macau,5,Asia East
122,MKD,Macedonia,324,Europe Other
123,MDG,Madagascar,68,Africa Sub-Saharan
124,MWI,Malawi,296,Africa Sub-Saharan
125,MYS,Malaysia,326,Asia South East
126,MDV,Maldives,52,Asia South
127,MLI,Mali,161,Africa Sub-Saharan
128,MLT,Malta,0,EU Other
129,MHL,Marshall Islands,0,Oceania
130,MTQ,Martinique,0,America Central and South
131,MRT,Mauritania,30,Africa North
132,MUS,Mauritius,99,Africa Sub-Saharan
133,MYT,Mayotte,0,Africa Sub-Saharan
134,MEX,Mexico,245,America Central and South
135,FSM,Micronesia,0,Oceania
136,MDA,Moldova,295,Europe Other
137,MCO,Monaco,3,Europe Other
138,MNG,Mongolia,238,Asia East
139,MNE,Montenegro,119,Europe Other
140,MSR,Montserrat (British),1,Other
141,MAR,Morocco,1583,Africa North
142,MOZ,Mozambique,84,Africa Sub-Saharan
143,MMR,Myanmar,727,Asia South East
144,NAM,Namibia,33,Africa Sub-Saharan
145,NRU,Nauru,0,Oceania
146,NPL,Nepal,2984,Asia South
147,NLD,Netherlands,1,EU 14
148,NLD,Netherlands Antilles,0,America Central and South
149,NCL,New Caledonia,0,Oceania
150,NZL,New Zealand,329,Oceania
151,NIC,Nicaragua,8,America Central and South
152,NER,Niger,55,Africa Sub-Saharan
153,NGA,Nigeria,59542,Africa Sub-Saharan
154,NIU,Niue,0,Oceania
155,NFK,Norfolk Island,0,Oceania
156,PRK,North Korea,3,Asia East
157,MNP,Northern Mariana Islands,0,Oceania
158,NOR,Norway,0,Europe Other
159,OMN,Oman,261,Middle East
160,PAK,Pakistan,33472,Asia South
161,PLW,Palau,0,Oceania
162,PAN,Panama,13,America Central and South
163,PNG,Papua New Guinea,11,Oceania
164,PRY,Paraguay,7,America Central and South
165,PER,Peru,459,America Central and South
166,PHL,Philippines,6249,Asia South East
167,PCN,Pitcairn Islands (British),0,Other
168,POL,Poland,1,EU 8
169,PRT,Portugal,2,EU 14
170,PRI,Puerto Rico,0,America North
171,QAT,Qatar,159,Middle East
172,ROU,Romania,2,EU 2
173,RUS,Russia,11094,Europe Other
174,RWA,Rwanda,244,Africa Sub-Saharan
175,WSM,Samoa,1,Oceania
176,SMR,San Marino,0,Europe Other
177,STP,Sao Tome and Principe,29,Africa Sub-Saharan
178,SAU,Saudi Arabia,4430,Middle East
179,SEN,Senegal,748,Africa Sub-Saharan
180,SRB,Serbia,815,Europe Other
181,MNE,Serbia and Montenegro,0,Europe Other
182,SYC,Seychelles,11,Africa Sub-Saharan
183,SLE,Sierra Leone,1117,Africa Sub-Saharan
184,SGP,Singapore,52,Asia South East
185,SVK,Slovakia,0,EU 8
186,SVN,Slovenia,0,EU 8
187,SLB,Solomon Islands,2,Oceania
188,SOM,Somalia,395,Africa Sub-Saharan
189,ZAF,South Africa,2490,Africa Sub-Saharan
190,GEO,South Georgia and South Sandwich Islands,0,Other
191,KOR,South Korea,208,Asia East
192,ESP,Spain,3,EU 14
193,LKA,Sri Lanka,5147,Asia South
194,KNA,St. Kitts and Nevis,11,America Central and South
195,LCA,St. Lucia,35,America Central and South
196,MAF,St. Martin (French Part),0,America Central and South
197,SPM,St. Pierre and Miquelon,0,America Central and South
198,SDN,Sudan,2968,Africa North
199,SDN,Sudan (South),53,Africa Sub-Saharan
200,SUR,Surinam,40,America Central and South
201,SJM,Svalbard and Jan Mayen,0,Europe Other
202,SWZ,Swaziland,49,Africa Sub-Saharan
203,SWE,Sweden,0,EU 14
204,CHE,Switzerland,1,Europe Other
205,SYR,Syria,3751,Middle East
206,TWN,Taiwan,72,Asia East
207,TJK,Tajikistan,67,Asia Central
208,TZA,Tanzania,1123,Africa Sub-Saharan
209,THA,Thailand,3064,Asia South East
210,TGO,Togo,159,Africa Sub-Saharan
211,TKL,Tokelau,0,Oceania
212,TON,Tonga,3,Oceania
213,TTO,Trinidad and Tobago,56,America Central and South
214,TUN,Tunisia,977,Africa North
215,TUR,Turkey,10117,Europe Other
216,TKM,Turkmenistan,182,Asia Central
217,TCA,Turks and Caicos Islands (British),0,Other
218,TUV,Tuvalu,0,Oceania
219,UGA,Uganda,2467,Africa Sub-Saharan
220,UKR,Ukraine,3436,Europe Other
221,ARE,United Arab Emirates,16,Middle East
222,USA,United States,1415,America North
223,VIR,United States Virgin Islands,0,America North
224,URY,Uruguay,14,America Central and South
225,UZB,Uzbekistan,497,Asia Central
226,VUT,Vanuatu,0,Oceania
227,VAT,Vatican City,1,Europe Other
228,VEN,Venezuela,276,America Central and South
229,VNM,Vietnam,1382,Asia South East
230,WLF,Wallis and Futuna,0,Oceania
231,ESH,Western Sahara,0,Africa North
232,YEM,Yemen,1055,Middle East
233,ZMB,Zambia,583,Africa Sub-Saharan
234,ZWE,Zimbabwe,3129,Africa Sub-Saharan
235,PSE,the State of Palestine,1129,Middle East
236,GGY,Guernsey,0,Other
237,BLM,Saint Barthélemy,0,Other
238,SXM,Sint Maarten (Dutch part),0,Other
239,VCT,Saint Vincent and the Grenadines,0,Other
240,GBR,United Kingdom,0,Other
241,BVT,Bouvet Island,0,Other
242,JEY,Jersey,0,Other
243,CUW,Curaçao,0,Other
244,ATA,Antarctica,0,Other
245,ALA,Åland Islands,0,Other
246,UMI,United States Minor Outlying Islands,0,Other
247,SSD,South Sudan,0,Other
248,REU,Réunion,0,Other
249,SHN,"Saint Helena, Ascension and Tristan da Cunha",0,Other
250,IMN,Isle of Man,0,Other
251,COD,"Congo, The Democratic Republic of the",0,Other
252,SGS,South Georgia and the South Sandwich Islands,0,Other
253,IOT,British Indian Ocean Territory,0,Other
254,ATF,French Southern Territories,0,Other
