,country_code,Country,Total,Geographical region
0,AFG,Afghanistan,47,Asia Central
1,ALB,Albania,65,Europe Other
2,DZA,Algeria,63,Africa North
3,ASM,American Samoa,0,Oceania
4,AND,Andorra,4,Europe Other
5,AGO,Angola,38,Africa Sub-Saharan
6,AIA,Anguilla (British),0,Other
7,ATG,Antigua and Barbuda,2,America Central and South
8,ARG,Argentina,795,America Central and South
9,ARM,Armenia,64,Europe Other
10,ABW,Aruba,0,America Central and South
11,AUS,Australia,18151,Oceania
12,AUT,Austria,0,EU 14
13,AZE,Azerbaijan,94,Europe Other
14,BHS,"Bahamas, The",12,America Central and South
15,BHR,Bahrain,46,Middle East
16,BGD,Bangladesh,516,Asia South
17,BRB,Barbados,29,America Central and South
18,BLR,Belarus,185,Europe Other
19,BEL,Belgium,0,EU 14
20,BLZ,Belize,4,America Central and South
21,BEN,Benin,5,Africa Sub-Saharan
22,BMU,Bermuda (British),1,Other
23,BTN,Bhutan,0,Asia South
24,BOL,Bolivia,34,America Central and South
25,BES,"Bonaire, Sint Eustatius and Saba",0,America Central and South
26,BIH,Bosnia and Herzegovina,38,Europe Other
27,BWA,Botswana,18,Africa Sub-Saharan
28,BRA,Brazil,1245,America Central and South
29,VGB,British Virgin Islands,0,Other
30,BRN,Brunei,54,Asia South East
31,BGR,Bulgaria,1,EU 2
32,BFA,Burkina,11,Africa Sub-Saharan
33,BDI,Burundi,3,Africa Sub-Saharan
34,KHM,Cambodia,11,Asia South East
35,CMR,Cameroon,46,Africa Sub-Saharan
36,CAN,Canada,6886,America North
37,CPV,Cape Verde,5,Africa Sub-Saharan
38,CYM,Cayman Islands (British),0,Other
39,CAF,Central African Republic,0,Africa Sub-Saharan
40,TCD,Chad,7,Africa Sub-Saharan
41,CHL,Chile,188,America Central and South
42,CHN,China,4960,Asia East
43,CXR,Christmas Island,0,Oceania
44,CCK,Cocos (Keeling) Islands,0,Oceania
45,COL,Colombia,336,America Central and South
46,COM,Comoros,5,Africa Sub-Saharan
47,COG,Congo,3,Africa Sub-Saharan
48,COG,Congo (Democratic Republic),41,Africa Sub-Saharan
49,COK,Cook Islands,0,Oceania
50,CRI,Costa Rica,42,America Central and South
51,HRV,Croatia,2,EU Other
52,CUB,Cuba,165,America Central and South
53,CYP,Cyprus,18,EU Other
54,CYP,Cyprus (Northern part of),0,Europe Other
55,CZE,Czech Republic,0,EU 8
56,DNK,Denmark,0,EU 14
57,DJI,Djibouti,0,Africa Sub-Saharan
58,DMA,Dominica,6,America Central and South
59,DOM,Dominican Republic,39,America Central and South
60,TLS,East Timor,0,Asia South East
61,ECU,Ecuador,56,America Central and South
62,EGY,Egypt,1743,Africa North
63,SLV,El Salvador,20,America Central and South
64,GNQ,Equatorial Guinea,0,Africa Sub-Saharan
65,ERI,Eritrea,124,Africa Sub-Saharan
66,EST,Estonia,0,EU 8
67,ETH,Ethiopia,215,Africa Sub-Saharan
68,FLK,Falkland Islands (British),0,Other
69,FRO,Faroe Islands,0,Europe Other
70,FJI,Fiji,19,Oceania
71,FIN,Finland,0,EU 14
72,FRA,France,0,EU 14
73,GUF,French Guiana,0,America Central and South
74,PYF,French Polynesia,0,Oceania
75,GAB,Gabon,4,Africa Sub-Saharan
76,GMB,"Gambia, The",14,Africa Sub-Saharan
77,GEO,Georgia,53,Europe Other
78,DEU,Germany,0,EU 14
79,GHA,Ghana,391,Africa Sub-Saharan
80,GIB,Gibraltar (British),0,Other
81,GRC,Greece,0,EU 14
82,GRL,Greenland,0,Europe Other
83,GRD,Grenada,3,America Central and South
84,GLP,Guadeloupe,0,America Central and South
85,GUM,Guam,0,Oceania
86,GTM,Guatemala,8,America Central and South
87,GIN,Guinea,5,Africa Sub-Saharan
88,GNB,Guinea-Bissau,0,Africa Sub-Saharan
89,GUY,Guyana,18,America Central and South
90,HTI,Haiti,3,America Central and South
91,HMD,Heard Island and McDonald Islands,0,Oceania
92,HND,Honduras,23,America Central and South
93,HKG,Hong Kong,1818,Asia East
94,HUN,Hungary,0,EU 8
95,ISL,Iceland,2,Europe Other
96,IND,India,58504,Asia South
97,IDN,Indonesia,1823,Asia South East
98,IRN,Iran,560,Middle East
99,IRQ,Iraq,162,Middle East
100,IRL,Ireland,0,EU 14
101,ISR,Israel,444,Middle East
102,ITA,Italy,0,EU 14
103,CIV,Ivory Coast,20,Africa Sub-Saharan
104,JAM,Jamaica,641,America Central and South
105,JPN,Japan,4593,Asia East
106,JOR,Jordan,244,Middle East
107,KAZ,Kazakhstan,256,Asia Central
108,KEN,Kenya,455,Africa Sub-Saharan
109,KIR,Kiribati,0,Oceania
110,KWT,Kuwait,41,Middle East
111,KGZ,Kyrgyzstan,25,Asia Central
112,LAO,Laos,1,Asia South East
113,LVA,Latvia,0,EU 8
114,LBN,Lebanon,340,Middle East
115,LSO,Lesotho,4,Africa Sub-Saharan
116,LBR,Liberia,0,Africa Sub-Saharan
117,LBY,Libya,103,Africa North
118,LIE,Liechtenstein,0,Europe Other
119,LTU,Lithuania,0,EU 8
120,LUX,Luxembourg,0,EU 14
121,MAC,Macau,10,Asia East
122,MKD,Macedonia,43,Europe Other
123,MDG,Madagascar,17,Africa Sub-Saharan
124,MWI,Malawi,35,Africa Sub-Saharan
125,MYS,Malaysia,888,Asia South East
126,MDV,Maldives,10,Asia South
127,MLI,Mali,60,Africa Sub-Saharan
128,MLT,Malta,0,EU Other
129,MHL,Marshall Islands,0,Oceania
130,MTQ,Martinique,0,America Central and South
131,MRT,Mauritania,7,Africa North
132,MUS,Mauritius,98,Africa Sub-Saharan
133,MYT,Mayotte,0,Africa Sub-Saharan
134,MEX,Mexico,402,America Central and South
135,FSM,Micronesia,0,Oceania
136,MDA,Moldova,96,Europe Other
137,MCO,Monaco,5,Europe Other
138,MNG,Mongolia,24,Asia East
139,MNE,Montenegro,7,Europe Other
140,MSR,Montserrat (British),0,Other
141,MAR,Morocco,510,Africa North
142,MOZ,Mozambique,35,Africa Sub-Saharan
143,MMR,Myanmar,80,Asia South East
144,NAM,Namibia,19,Africa Sub-Saharan
145,NRU,Nauru,0,Oceania
146,NPL,Nepal,646,Asia South
147,NLD,Netherlands,0,EU 14
148,NLD,Netherlands Antilles,0,America Central and South
149,NCL,New Caledonia,0,Oceania
150,NZL,New Zealand,6945,Oceania
151,NIC,Nicaragua,5,America Central and South
152,NER,Niger,33,Africa Sub-Saharan
153,NGA,Nigeria,1578,Africa Sub-Saharan
154,NIU,Niue,0,Oceania
155,NFK,Norfolk Island,0,Oceania
156,PRK,North Korea,0,Asia East
157,MNP,Northern Mariana Islands,0,Oceania
158,NOR,Norway,0,Europe Other
159,OMN,Oman,83,Middle East
160,PAK,Pakistan,3686,Asia South
161,PLW,Palau,0,Oceania
162,PAN,Panama,6,America Central and South
163,PNG,Papua New Guinea,12,Oceania
164,PRY,Paraguay,17,America Central and South
165,PER,Peru,68,America Central and South
166,PHL,Philippines,10094,Asia South East
167,PCN,Pitcairn Islands (British),0,Other
168,POL,Poland,0,EU 8
169,PRT,Portugal,0,EU 14
170,PRI,Puerto Rico,0,America North
171,QAT,Qatar,31,Middle East
172,ROU,Romania,0,EU 2
173,RUS,Russia,2978,Europe Other
174,RWA,Rwanda,12,Africa Sub-Saharan
175,WSM,Samoa,11,Oceania
176,SMR,San Marino,0,Europe Other
177,STP,Sao Tome and Principe,0,Africa Sub-Saharan
178,SAU,Saudi Arabia,310,Middle East
179,SEN,Senegal,48,Africa Sub-Saharan
180,SRB,Serbia,221,Europe Other
181,MNE,Serbia and Montenegro,0,Europe Other
182,SYC,Seychelles,46,Africa Sub-Saharan
183,SLE,Sierra Leone,12,Africa Sub-Saharan
184,SGP,Singapore,603,Asia South East
185,SVK,Slovakia,0,EU 8
186,SVN,Slovenia,0,EU 8
187,SLB,Solomon Islands,0,Oceania
188,SOM,Somalia,1,Africa Sub-Saharan
189,ZAF,South Africa,3276,Africa Sub-Saharan
190,GEO,South Georgia and South Sandwich Islands,0,Other
191,KOR,South Korea,2375,Asia East
192,ESP,Spain,0,EU 14
193,LKA,Sri Lanka,1661,Asia South
194,KNA,St. Kitts and Nevis,39,America Central and South
195,LCA,St. Lucia,10,America Central and South
196,MAF,St. Martin (French Part),0,America Central and South
197,SPM,St. Pierre and Miquelon,0,America Central and South
198,SDN,Sudan,410,Africa North
199,SDN,Sudan (South),5,Africa Sub-Saharan
200,SUR,Surinam,0,America Central and South
201,SJM,Svalbard and Jan Mayen,0,Europe Other
202,SWZ,Swaziland,9,Africa Sub-Saharan
203,SWE,Sweden,0,EU 14
204,CHE,Switzerland,0,Europe Other
205,SYR,Syria,172,Middle East
206,TWN,Taiwan,1261,Asia East
207,TJK,Tajikistan,7,Asia Central
208,TZA,Tanzania,106,Africa Sub-Saharan
209,THA,Thailand,492,Asia South East
210,TGO,Togo,6,Africa Sub-Saharan
211,TKL,Tokelau,0,Oceania
212,TON,Tonga,18,Oceania
213,TTO,Trinidad and Tobago,79,America Central and South
214,TUN,Tunisia,173,Africa North
215,TUR,Turkey,1590,Europe Other
216,TKM,Turkmenistan,11,Asia Central
217,TCA,Turks and Caicos Islands (British),0,Other
218,TUV,Tuvalu,0,Oceania
219,UGA,Uganda,273,Africa Sub-Saharan
220,UKR,Ukraine,1083,Europe Other
